X,system
-8.0,1.0
-7.9,1.0
-7.800000000000001,1.0
-7.700000000000001,1.0
-7.600000000000001,1.0
-7.500000000000002,1.0
-7.400000000000002,1.0
-7.3000000000000025,1.0
-7.200000000000003,1.0
-7.100000000000003,1.0
-7.0000000000000036,1.0
-6.900000000000004,1.0
-6.800000000000004,1.0
-6.700000000000005,1.0
-6.600000000000005,1.0
-6.500000000000005,1.0
-6.400000000000006,1.0
-6.300000000000006,1.0
-6.200000000000006,1.0
-6.100000000000007,1.0
-6.000000000000007,1.0
-5.9000000000000075,1.0
-5.800000000000008,1.0
-5.700000000000008,1.0
-5.6000000000000085,1.0
-5.500000000000009,1.0
-5.400000000000009,1.0
-5.30000000000001,1.0
-5.20000000000001,1.0
-5.10000000000001,1.0
-5.000000000000011,1.0
-4.900000000000011,1.0
-4.800000000000011,1.0
-4.700000000000012,1.0
-4.600000000000012,1.0
-4.500000000000012,1.0
-4.400000000000013,1.0
-4.300000000000013,1.0
-4.2000000000000135,1.0
-4.100000000000014,1.0
-4.000000000000014,1.0
-3.900000000000014,1.0
-3.800000000000014,1.0
-3.700000000000014,1.0
-3.600000000000014,1.0
-3.5000000000000138,1.0
-3.4000000000000137,1.0
-3.3000000000000136,1.0
-3.2000000000000135,1.0
-3.1000000000000134,1.0
-3.0000000000000133,1.0
-2.9000000000000132,1.0
-2.800000000000013,1.0
-2.700000000000013,1.0
-2.600000000000013,1.0
-2.500000000000013,1.0
-2.400000000000013,1.0
-2.3000000000000127,1.0
-2.2000000000000126,1.0
-2.1000000000000125,1.0
-2.0000000000000124,1.0
-1.9000000000000123,1.0
-1.8000000000000123,1.0
-1.7000000000000122,1.0
-1.600000000000012,1.0
-1.500000000000012,1.0
-1.400000000000012,1.0
-1.3000000000000118,1.0
-1.2000000000000117,1.0
-1.1000000000000116,1.0
-1.0000000000000115,1.0
-0.9000000000000116,1.0
-0.8000000000000116,1.0
-0.7000000000000116,1.0
-0.6000000000000116,1.0
-0.5000000000000117,1.0
-0.4000000000000117,1.0
-0.3000000000000117,1.0
-0.2000000000000117,1.0
-0.10000000000001169,1.0
-1.1685097334179773E-14,1.0
0.09999999999998832,-0.7789291617280104
0.19999999999998833,0.5897885686673083
0.29999999999998833,5.088362617836559
0.39999999999998836,10.705037058616066
0.49999999999998834,15.340427939588059
0.5999999999999883,18.747572323010864
0.6999999999999883,21.063833393802593
0.7999999999999883,22.476095404396567
0.8999999999999883,23.216606636916318
0.9999999999999882,23.42802648933736
1.0999999999999883,23.262066746985642
1.1999999999999884,22.790899469916745
1.2999999999999885,22.166606016270613
1.3999999999999886,21.312746383760828
1.4999999999999887,20.455475430423657
1.5999999999999888,19.48375703904513
1.6999999999999889,18.481235882308027
1.799999999999989,17.49323199117846
1.899999999999989,16.439198078300976
1.9999999999999891,15.445597587928221
2.099999999999989,14.461586611634322
2.199999999999989,13.50540480492199
2.299999999999989,12.579408595683605
2.3999999999999893,11.68999200745085
2.4999999999999893,10.839096438020704
2.5999999999999894,10.031942365630767
2.6999999999999895,9.254354809302376
2.7999999999999896,8.521246423700164
2.8999999999999897,7.84136837792905
2.99999999999999,7.184884030065762
3.09999999999999,6.578188035258178
3.19999999999999,5.9965535693545124
3.29999999999999,5.459694983357397
3.39999999999999,4.95666827818524
3.4999999999999902,4.495714204837508
3.5999999999999903,4.060510445867212
3.6999999999999904,3.657078796461438
3.7999999999999905,3.2751895517554703
3.8999999999999906,2.930989725003349
3.9999999999999907,2.6131326404111657
4.099999999999991,2.321265162029987
4.19999999999999,2.0538119962303694
4.29999999999999,1.8094462189286333
4.39999999999999,1.5868601718435649
4.499999999999989,1.3847305664483351
4.599999999999989,1.2017242192232722
4.699999999999989,1.036936889822442
4.799999999999988,0.888832856370842
4.899999999999988,0.7566240785236591
4.999999999999988,0.6391120757027963
5.099999999999987,0.5351740958112831
5.199999999999987,0.4439250222846779
5.2999999999999865,0.3641227018702857
5.399999999999986,0.2947399511981464
5.499999999999986,0.2353649674472334
5.599999999999985,0.18487841311701816
5.699999999999985,0.1428333515841561
5.799999999999985,0.10773714828517325
5.899999999999984,0.07890701468568163
5.999999999999984,0.05598996048461616
6.099999999999984,0.03826712621919795
6.199999999999983,0.02476530090273966
6.299999999999983,0.014842596962245685
6.399999999999983,0.008081566636391053
6.499999999999982,0.003849876624015687
6.599999999999982,0.001397180893461276
6.6999999999999815,3.208900807385336E-4
6.799999999999981,1.3964822719075582E-5
6.899999999999981,-6.305697463434017E-6
6.9999999999999805,-2.3363682330063438E-4
7.09999999999998,-0.0011665479243122105
7.19999999999998,-0.0031623677557479357
7.299999999999979,-0.006735636513972587
7.399999999999979,-0.012291779106971991
7.499999999999979,-0.02019108554756616
7.599999999999978,-0.031201287926624438
7.699999999999978,-0.0450879661107178
7.799999999999978,-0.06247823941738533
7.899999999999977,-0.08281001304505549
7.999999999999977,-0.10897195167498995
8.099999999999977,-0.13870552130717564
8.199999999999976,-0.17316888226770885
8.299999999999976,-0.21264426580480092
8.399999999999975,-0.25739698739948375
8.499999999999975,-0.3076888854169059
8.599999999999975,-0.3637686312740404
8.699999999999974,-0.42586816482828205
8.799999999999974,-0.49421497492853583
8.899999999999974,-0.5690253898210114
8.999999999999973,-0.6504807880737973
9.099999999999973,-0.7388044706031754
9.199999999999973,-0.8342878092631794
9.299999999999972,-0.9369923615721756
9.399999999999972,-1.0470947740534173
9.499999999999972,-1.1647204592739062
9.599999999999971,-1.290123415611548
9.69999999999997,-1.4235291529909
9.79999999999997,-1.5649474422342147
