X,log10
1.0E-4,-1.773738684390388
0.10010000000000001,-0.984519146085241
0.2001,-0.6953609868607923
0.30010000000000003,-0.521628945874608
0.4001,-0.39712066508126653
0.5001,-0.30067414417060573
0.6001,-0.2216496374771227
0.7001,-0.1547716409329793
0.8000999999999999,-0.096818939878498
0.9000999999999999,-0.045693565198983585
1.0001,4.3413281664401485E-5
1.1001,0.041418006971482846
1.2001000000000002,0.07919587349253555
1.3001000000000003,0.11392925169402524
1.4001000000000003,0.1461382654216766
1.5001000000000004,0.1760926838389608
1.6001000000000005,0.20413215855090006
1.7001000000000006,0.23045470781258973
1.8001000000000007,0.25515108810506587
1.9001000000000008,0.2787724293398344
2.0001000000000007,0.3010631489594892
2.1001000000000007,0.3222445596476982
2.200100000000001,0.3424397177755314
2.300100000000001,0.361739329220013
2.400100000000001,0.3802192208279612
2.500100000000001,0.3979344780394831
2.600100000000001,0.4149540083729477
2.7001000000000013,0.4313586259863012
2.8001000000000014,0.4471641770732779
2.9001000000000015,0.46234638350757595
3.0001000000000015,0.4771196262189637
3.1001000000000016,0.49128918714530306
3.2001000000000017,0.5051599843466316
3.300100000000002,0.5185149192495944
3.400100000000002,0.5314833201835305
3.500100000000002,0.543957058005959
3.600100000000002,0.556180559701579
3.700100000000002,0.5680648849551354
3.8001000000000023,0.5798022582072647
3.9001000000000023,0.5910948632602502
4.000100000000002,0.6020937372793636
4.100100000000002,0.6128139237651087
4.200100000000002,0.6232756648451402
4.300100000000001,0.6334911282095448
4.400100000000001,0.6434712937277441
4.500100000000001,0.6532261662872422
4.6001,0.6627713324443157
4.7001,0.6721092261455016
4.8001,0.6812516151036564
4.900099999999999,0.6902073093486392
5.000099999999999,0.6989672391071838
5.1000999999999985,0.7075616254285628
5.200099999999998,0.7159871073551785
5.300099999999998,0.7242490485916308
5.4000999999999975,0.7323920229104378
5.500099999999997,0.7403648437528212
5.600099999999997,0.7481978535874161
5.700099999999996,0.7558399899639603
5.800099999999996,0.7633803526491888
5.900099999999996,0.7708456192055525
6.000099999999995,0.7781538181252572
6.100099999999995,0.7852785023071526
6.200099999999995,0.7923236443469905
6.300099999999994,0.7993376675070522
6.400099999999994,0.8061946179898565
6.5000999999999935,0.8128279969003248
6.600099999999993,0.8195497587379225
6.700099999999993,0.8259831541181103
6.8000999999999925,0.8325183471398698
6.900099999999992,0.8387378611994916
7.000099999999992,0.8449923327043137
7.100099999999991,0.8512834375880435
7.200099999999991,0.8572160162171776
7.300099999999991,0.863188461465567
7.40009999999999,0.869100521936763
7.50009999999999,0.8749150933083479
7.60009999999999,0.88083789356719
7.700099999999989,0.8865200767768678
7.800099999999989,0.8921305595153318
7.900099999999989,0.8974555046332838
8.000099999999989,0.9031297522255267
8.100099999999989,0.9085229811227858
8.200099999999988,0.9138500709876387
8.300099999999988,0.9191127177361965
8.400099999999988,0.9243119382395047
8.500099999999987,0.9294498080554611
8.600099999999987,0.9345275219250238
8.700099999999987,0.9395464259180092
8.800099999999986,0.9445078025073791
8.900099999999986,0.9494128705692414
9.000099999999986,0.9542627853828497
9.100099999999985,0.9590586386306036
9.200099999999985,0.9638080548677289
9.300099999999984,0.968502051736423
9.400099999999984,0.9731460485715531
9.500099999999984,0.9777411728716783
9.600099999999983,0.9822885330594817
9.700099999999983,0.9867892216616125
9.800099999999983,0.9912443184885295
9.900099999999982,0.9956548938143421
10.000099999999982,1.000004340463434
10.100099999999982,1.0043230518397
10.200099999999981,1.0085988126918828
10.300099999999981,1.012832357174663
10.40009999999998,1.01702437767297
10.50009999999998,1.021175523509972
10.60009999999998,1.0252863994563255
10.70009999999998,1.0293885079602962
10.80009999999998,1.0334294422055916
10.900099999999979,1.0374337783411327
11.000099999999978,1.041402334605953
11.100099999999978,1.0453359349184603
11.200099999999978,1.0492354126825527
11.300099999999977,1.053056110666723
11.400099999999977,1.0568776274720832
11.500099999999977,1.06066481587149
11.600099999999976,1.0644180580575642
11.700099999999976,1.0681376870727346
11.800099999999976,1.0718833772220775
11.900099999999975,1.075552202892905
12.000099999999975,1.0791916349234603
12.100099999999975,1.0828024521483937
12.200099999999974,1.0863163911459757
12.300099999999974,1.08985414085457
12.400099999999973,1.0933615937905465
12.500099999999973,1.0968388604985844
12.600099999999973,1.1003756558230455
12.700099999999972,1.1038164984988452
12.800099999999972,1.1072326556637915
12.900099999999972,1.1105241575712343
13.000099999999971,1.1138661109335903
13.100099999999971,1.1172755601372655
13.20009999999997,1.120587899337118
13.30009999999997,1.1238782809013546
13.40009999999997,1.1270213691828335
13.50009999999997,1.1302342653605264
13.60009999999997,1.1335565814767388
13.700099999999969,1.1366347643204269
13.800099999999969,1.1397761753002191
13.900099999999968,1.1430341422451862
14.000099999999968,1.1460306909005629
14.100099999999967,1.1492327562804892
14.200099999999967,1.1523217978552907
14.300099999999967,1.1552138620483696
14.400099999999966,1.1582544653203062
14.500099999999966,1.1613917747892062
14.600099999999966,1.1642269590157848
14.700099999999965,1.1671953347467123
14.800099999999965,1.1701390612669889
14.900099999999965,1.1730586150271913
15.000099999999964,1.1759536811239866
15.100099999999964,1.179013429787244
15.200099999999964,1.181876432144645
15.300099999999963,1.1847307049304283
15.400099999999963,1.1875586375228544
15.500099999999962,1.1903685794901826
15.600099999999962,1.193169128621871
15.700099999999962,1.195740663056356
15.800099999999961,1.1984943522467297
15.900099999999961,1.201443938370269
16.00009999999996,1.2041684805611512
16.100099999999962,1.206873485236437
16.200099999999964,1.2095617429521177
16.300099999999965,1.2122334656977072
16.400099999999966,1.2148888654627197
