X,cos
-8.0,-0.14550003408934667
-7.9,-0.04600212563962397
-7.800000000000001,0.053955420562913574
-7.700000000000001,0.1533738624449705
-7.600000000000001,0.25125984257014206
-7.500000000000002,0.34663531759482613
-7.400000000000002,0.4385473253213525
-7.3000000000000025,0.5260775038764228
-7.200000000000003,0.6083513147660689
-7.100000000000003,0.6845466675602624
-7.0000000000000036,0.7539022587361901
-6.900000000000004,0.8157251149592227
-6.800000000000004,0.8693975347025663
-6.700000000000005,0.9143832682771263
-6.600000000000005,0.9502328909647766
-6.500000000000005,0.9765876175451944
-6.400000000000006,0.9931848981221888
-6.300000000000006,0.9998585874576469
-6.200000000000006,0.9965419871274287
-6.100000000000007,0.9832682030958285
-6.000000000000007,0.9601698035767023
-5.9000000000000075,0.927478448171599
-5.800000000000008,0.8855195537324757
-5.700000000000008,0.8347128597870797
-5.6000000000000085,0.7755660263151438
-5.500000000000009,0.7086700572687987
-5.400000000000009,0.6346934031936671
-5.30000000000001,0.5543752943116788
-5.20000000000001,0.468516627010029
-5.10000000000001,0.37797765978430903
-5.000000000000011,0.28366203364109216
-4.900000000000011,0.18651209723305645
-4.800000000000011,0.08749850490001254
-4.700000000000012,-0.012387940720751538
-4.600000000000012,-0.11215211010324744
-4.500000000000012,-0.21079556345692912
-4.400000000000013,-0.30733273902012304
-4.300000000000013,-0.4007991009343138
-4.2000000000000135,-0.49026078356427705
-4.100000000000014,-0.5748247746935158
-4.000000000000014,-0.6536440738628198
-3.900000000000014,-0.7259325457467598
-3.800000000000014,-0.7909678371866624
-3.700000000000014,-0.8481000947415885
-3.600000000000014,-0.8967584470130376
-3.5000000000000138,-0.936456701687162
-3.4000000000000137,-0.9667977868498232
-3.3000000000000136,-0.9874795742228837
-3.2000000000000135,-0.9982946854445373
-3.1000000000000134,-0.9991351105589232
-3.0000000000000133,-0.9899924800910899
-2.9000000000000132,-0.9709581587113987
-2.800000000000013,-0.9422225808338986
-2.700000000000013,-0.9040722365964822
-2.600000000000013,-0.8568887875208506
-2.500000000000013,-0.8011436266556584
-2.400000000000013,-0.7373937187196322
-2.3000000000000127,-0.6662760220537652
-2.2000000000000126,-0.58850107481331
-2.1000000000000125,-0.5048460956516311
-2.0000000000000124,-0.4161468351873358
-1.9000000000000123,-0.32328956673849174
-1.8000000000000123,-0.2272020946882904
-1.7000000000000122,-0.1288444944147688
-1.600000000000012,-0.029199522301304456
-1.500000000000012,0.07073720166945943
-1.400000000000012,0.16996714374112692
-1.3000000000000118,0.26749882860301183
-1.2000000000000117,0.3623577541119816
-1.1000000000000116,0.45359611830049645
-1.0000000000000115,0.540302288196283
-0.9000000000000116,0.6216099685797489
-0.8000000000000116,0.6967067107712154
-0.7000000000000116,0.7648421927272289
-0.6000000000000116,0.8253356328832185
-0.5000000000000117,0.8775826146660061
-0.4000000000000117,0.9210611347148886
-0.3000000000000117,0.9553364855332888
-0.2000000000000117,0.9800665682363761
-0.10000000000001169,0.9950041413205273
-1.1685097334179773E-14,0.999999943741051
0.09999999999998832,0.9950040399716884
0.19999999999998833,0.9800663114910279
0.29999999999998833,0.9553359460515606
0.39999999999998836,0.9210610138159292
0.49999999999998834,0.8775826034571336
0.5999999999999883,0.8253356991075063
0.6999999999999883,0.7648423524752799
0.7999999999999883,0.6967070241178511
0.8999999999999883,0.621610552215116
0.9999999999999882,0.5403033627792272
